"","1","2","3","4"
"3-754-1_0_I13_1",0.00376471075382076,0.00411774220102117,0.987693546770832,0.00442400027432645
"3-754-2_0_J13_1",0.00391193418198986,0.00388035246887589,0.987737027571931,0.00447068577720354
"3-754-3_0_L13_1",0.00229585454701069,0.0048378234338314,0.98988275373302,0.00298356828613771
"3-803-1_0_I20_1",0.00163774607601546,0.0039183822489745,0.989882429668258,0.00456144200675167
"3-803-2_0_J20_1",0.00158511254977045,0.00417485348457191,0.989826083774349,0.00441395019130867
"3-803-3_0_K20_1",0.00147047538758321,0.00450184064285175,0.991221209064955,0.0028064749046098
"3-850-1_0_N21_1",0.00166775563401251,0.00302703501038626,0.990748762046708,0.00455644730889318
"3-850-2_0_M21_1",0.00148612508696989,0.0039724899182354,0.990070232083656,0.00447115291113864
"3-850-3_0_P21_1",0.00163634565548077,0.00461020556577077,0.989815026235878,0.00393842254287062
"3-897-1_0_I16_1",0.00262431391240032,0.00222702300708124,0.990541764892499,0.00460689818801934
"3-897-2_0_J16_1",0.00277957531052716,0.00164683349248542,0.99103519929339,0.00453839190359784
"3-897-3_0_K16_1",0.00179637478832323,0.00346569536014633,0.990109142043205,0.00462878780832555
"3-96-1_0_I2_1",0.00140784683271915,0.00428400188487979,0.991977905638314,0.00233024564408777
"3-96-2_0_J2_1",0.00144428670869916,0.00458109692217577,0.990737236609958,0.0032373797591665
"3-96-3_0_J2_1",0.0014008875943563,0.00254235355573012,0.991640923962959,0.0044158348869551
"3-989-1_0_I18_1",0.00316411614977382,0.00350009906348406,0.988530524561578,0.00480526022516348
"3-989-2_0_J18_1",0.0024808391896972,0.00463488874841234,0.990778746837829,0.00210552522406081
"3-989-3_0_K18_1",0.00191252266778547,0.0046058673965453,0.990707827967054,0.00277378196861545
"3-996-1_0_I19_1",0.0015578177143155,0.00445985158475842,0.991367004581998,0.00261532611892859
"3-996-2_0_J19_1",0.00159923092777064,0.00430521139443978,0.991734161226372,0.0023613964514173
"3-996-3_0_K19_1",0.00161318985825173,0.00426082750866406,0.991842461496416,0.00228352113666779
"4-118-1_0_J24_1",0.00102039710039978,0.00925966130996045,0.00946032794801087,0.980259613641629
"4-118-2_0_K24_1",0.00231229542284206,0.00815994455034415,0.00964870756898381,0.97987905245783
"4-118-3_0_L24_1",0.00215221339700475,0.00995012689239399,0.00528378081078126,0.98261387889982
"4-134-1_0_P1_1",0.0027477643690238,0.00560448187452878,0.0095542814206286,0.982093472335819
"4-134-2_0_P1_2",0.00245668453908927,0.005997774305398,0.00970914489593254,0.98183639625958
"4-134-3_0_P1_1",0.00296480266219499,0.00486371405833316,0.00935264881652204,0.98281883446295
"4-17-1_0_I22_1",0.00350672371226534,0.00853511773654254,0.00808841635580363,0.979869742195389
"4-17-2_0_J22_1",0.00132878555719115,0.0100291689926347,0.00599466865364007,0.982647376796534
"4-17-3_0_K22_1",0.002943062784053,0.00956474009011136,0.0076941977471931,0.979797999378642
"4-176-1_0_M4_1",0.00335327534327995,0.00420815889258468,0.0076777597903108,0.984760805973825
"4-176-2_0_N4_1",0.00318874718969544,0.00483922790288961,0.00872213042603023,0.983249894481385
"4-176-3_0_P4_1",0.00321809791947763,0.00412504558844072,0.00857322751503588,0.984083628977046
"4-472-1_0_M6_1",0.000850211998498182,0.00358131668094596,0.00959957334873396,0.985968897971822
"4-472-2_0_O6_1",0.00236375749571154,0.00467028426298363,0.00968095606396805,0.983285002177337
"4-472-3_0_O6_1",0.00118703731475882,0.00535338151521525,0.00978986417748707,0.983669716992539
"4-484-1_0_M7_1",0.0031100445919113,0.00384308903626691,0.00843713396627911,0.984609732405543
"4-484-2_0_M7_1",0.00199858472033172,0.00370101141672178,0.00952377451589999,0.984776629347047
"4-484-3_0_M7_1",0.00165370928332159,0.00452569990160224,0.00961858558995838,0.984202005225117
"4-546-1_0_O9_1",0.0014814991774366,0.00956026943050054,0.00906962007790406,0.979888611314159
